player_id, year, batter_hand, batters_faced, hits, doubles, triples, home_runs, walks, strikeouts, intentional_walks, hit_batters
279571.0, 2015, R, 93, 23, 3, 0, 0, 8, 15, 1, 0
430613.0, 2014, L, 128, 35, 3, 0, 3, 13, 18, 7, 2
430613.0, 2014, R, 164, 43, 7, 0, 1, 5, 29, 0, 3
430613.0, 2015, L, 21, 6, 2, 0, 0, 2, 3, 1, 0
430613.0, 2015, R, 15, 2, 1, 0, 0, 2, 3, 0, 0
542924.0, 2014, L, 47, 6, 1, 0, 1, 4, 13, 0, 1
542924.0, 2014, R, 53, 13, 1, 0, 0, 3, 15, 1, 1
542924.0, 2015, L, 6, 2, 1, 0, 0, 0, 2, 0, 0
542924.0, 2015, R, 9, 4, 1, 0, 1, 1, 0, 0, 0
425514.0, 2014, L, 52, 12, 3, 0, 1, 6, 8, 1, 2
425514.0, 2014, R, 36, 12, 3, 0, 0, 2, 4, 0, 2
276542.0, 2014, L, 101, 14, 5, 0, 1, 8, 36, 2, 1
276542.0, 2014, R, 104, 14, 2, 1, 2, 6, 28, 0, 0
276542.0, 2015, L, 132, 21, 3, 2, 6, 10, 36, 1, 0
276542.0, 2015, R, 122, 15, 5, 0, 1, 13, 27, 0, 2
548357.0, 2014, L, 107, 28, 8, 3, 1, 6, 18, 0, 1
548357.0, 2014, R, 142, 47, 11, 2, 8, 4, 13, 2, 0
548357.0, 2015, L, 114, 23, 5, 2, 1, 6, 22, 0, 0
548357.0, 2015, R, 172, 59, 13, 1, 7, 9, 15, 1, 0
476454.0, 2014, L, 171, 26, 4, 1, 0, 8, 66, 0, 1
476454.0, 2014, R, 170, 20, 5, 0, 4, 16, 69, 1, 3
476454.0, 2015, L, 153, 18, 4, 0, 2, 17, 57, 2, 2
476454.0, 2015, R, 179, 27, 3, 0, 4, 23, 74, 0, 1
429783.0, 2015, L, 57, 10, 3, 0, 1, 7, 18, 1, 0
429783.0, 2015, R, 118, 33, 8, 2, 3, 5, 22, 3, 0
518452.0, 2014, L, 62, 19, 2, 0, 2, 6, 9, 1, 0
518452.0, 2014, R, 65, 23, 9, 0, 2, 4, 4, 1, 1
518452.0, 2015, L, 266, 58, 20, 1, 4, 29, 44, 1, 1
518452.0, 2015, R, 236, 62, 17, 2, 7, 13, 54, 1, 2
451532.0, 2015, L, 75, 28, 5, 0, 4, 4, 8, 0, 0
451532.0, 2015, R, 90, 25, 3, 0, 1, 4, 7, 0, 1
502195.0, 2014, L, 65, 11, 1, 1, 1, 11, 11, 0, 0
502195.0, 2014, R, 83, 15, 3, 0, 1, 8, 21, 0, 1
430599.0, 2015, L, 148, 38, 10, 1, 4, 11, 30, 4, 0
430599.0, 2015, R, 161, 31, 8, 1, 3, 5, 49, 1, 1
460283.0, 2014, L, 117, 17, 6, 0, 0, 6, 40, 0, 0
460283.0, 2014, R, 123, 31, 4, 0, 3, 17, 26, 6, 1
460283.0, 2015, L, 14, 0, 0, 0, 0, 0, 4, 0, 0
460283.0, 2015, R, 1, 0, 0, 0, 0, 0, 0, 0, 0
502211.0, 2014, L, 110, 33, 6, 3, 2, 9, 20, 1, 0
502211.0, 2014, R, 128, 33, 6, 3, 5, 8, 28, 0, 0
502211.0, 2015, L, 205, 51, 9, 1, 4, 26, 36, 2, 0
502211.0, 2015, R, 261, 53, 10, 0, 7, 19, 62, 1, 1
502202.0, 2014, L, 117, 11, 1, 0, 3, 10, 46, 0, 2
502202.0, 2014, R, 130, 23, 4, 0, 6, 10, 58, 0, 2
502202.0, 2015, L, 147, 29, 4, 0, 4, 16, 32, 2, 0
502202.0, 2015, R, 124, 25, 3, 0, 5, 16, 42, 3, 2
571510.0, 2015, L, 76, 25, 4, 1, 6, 5, 9, 0, 1
571510.0, 2015, R, 176, 46, 5, 3, 11, 15, 34, 0, 0
430641.0, 2014, L, 63, 18, 2, 1, 2, 3, 6, 0, 0
430641.0, 2014, R, 97, 16, 10, 0, 0, 5, 23, 0, 0
430641.0, 2015, L, 92, 14, 3, 0, 0, 7, 11, 3, 0
430641.0, 2015, R, 176, 48, 10, 2, 5, 12, 22, 1, 0
542960.0, 2014, L, 110, 23, 6, 0, 4, 13, 19, 1, 0
542960.0, 2014, R, 144, 25, 5, 0, 2, 12, 35, 0, 1
542960.0, 2015, L, 169, 27, 8, 0, 1, 19, 37, 3, 0
542960.0, 2015, R, 155, 30, 7, 0, 6, 19, 52, 0, 0
611093.0, 2015, L, 20, 5, 2, 0, 1, 3, 9, 1, 0
611093.0, 2015, R, 30, 4, 1, 0, 1, 1, 8, 0, 1
605151.0, 2015, L, 91, 13, 2, 0, 1, 17, 18, 1, 1
605151.0, 2015, R, 70, 23, 4, 1, 2, 5, 5, 0, 1
444520.0, 2014, L, 118, 30, 5, 0, 4, 13, 11, 0, 2
444520.0, 2014, R, 142, 43, 8, 1, 4, 15, 26, 1, 0
444520.0, 2015, L, 99, 26, 3, 1, 3, 6, 14, 0, 2
444520.0, 2015, R, 181, 43, 10, 0, 9, 17, 32, 5, 0
502154.0, 2014, L, 93, 15, 0, 0, 0, 5, 22, 0, 0
502154.0, 2014, R, 192, 31, 7, 0, 4, 18, 40, 0, 1
502154.0, 2015, L, 72, 10, 0, 0, 0, 3, 29, 0, 0
502154.0, 2015, R, 181, 41, 6, 1, 3, 11, 50, 1, 1
605156.0, 2014, L, 10, 5, 1, 0, 0, 2, 0, 0, 1
605156.0, 2014, R, 14, 7, 3, 0, 1, 1, 2, 0, 1
605156.0, 2015, L, 116, 31, 4, 1, 5, 7, 24, 0, 1
605156.0, 2015, R, 134, 42, 10, 1, 4, 7, 14, 0, 3
571521.0, 2014, L, 119, 30, 3, 1, 4, 19, 21, 0, 1
571521.0, 2014, R, 154, 35, 5, 1, 3, 20, 34, 0, 1
571521.0, 2015, L, 26, 5, 1, 1, 0, 3, 3, 0, 0
571521.0, 2015, R, 20, 4, 0, 1, 0, 5, 2, 0, 0
455009.0, 2014, L, 92, 18, 3, 0, 0, 10, 22, 0, 0
455009.0, 2014, R, 139, 23, 3, 2, 4, 9, 27, 0, 1
455009.0, 2015, L, 103, 30, 4, 1, 2, 8, 22, 1, 0
455009.0, 2015, R, 154, 31, 4, 4, 5, 14, 41, 0, 0
571527.0, 2014, L, 221, 45, 4, 1, 2, 19, 28, 1, 3
571527.0, 2014, R, 282, 75, 17, 1, 10, 13, 43, 1, 5
571527.0, 2015, L, 172, 53, 11, 2, 8, 19, 17, 1, 1
571527.0, 2015, R, 179, 56, 14, 1, 4, 10, 27, 0, 2
453329.0, 2014, L, 420, 106, 22, 4, 9, 38, 72, 1, 5
453329.0, 2014, R, 317, 76, 14, 0, 8, 16, 60, 1, 5
453329.0, 2015, L, 247, 56, 11, 0, 4, 8, 61, 0, 3
453329.0, 2015, R, 222, 58, 15, 0, 2, 15, 46, 0, 2
488748.0, 2014, L, 1, 0, 0, 0, 0, 1, 0, 0, 0
488748.0, 2014, R, 2, 0, 0, 0, 0, 0, 1, 0, 0
