player_id, pitcher_hand, batter_hand, pitch_type, count, speed, h_mov, v_mov, h_rel, v_rel
457744, L, L, Curve, 2, 76.200000, 0.450000, -3.380000, 2.810000, 6.320000
593582, R, R, Fourseam, 47, 93.710000, -6.090000, 9.240000, -1.510000, 6.220000
593582, R, R, Change, 2, 86.030000, -3.470000, 5.100000, -1.690000, 6.410000
593582, R, R, Curve, 24, 76.830000, 7.880000, -7.350000, -1.460000, 6.100000
593582, R, L, Fourseam, 68, 93.220000, -6.360000, 8.710000, -1.620000, 6.090000
593582, R, L, Change, 9, 86.620000, -4.170000, 5.930000, -1.650000, 6.230000
593582, R, L, Slider, 13, 83.030000, 0.450000, 3.650000, -1.550000, 6.000000
593582, R, L, Curve, 20, 76.870000, 8.600000, -7.790000, -1.670000, 6.010000
606167, L, R, Fourseam, 48, 91.090000, 6.070000, 8.940000, 1.740000, 5.960000
606167, L, R, Sinker, 9, 90.740000, 8.730000, 5.920000, 1.710000, 6.050000
606167, L, R, Change, 21, 81.300000, 8.590000, 5.490000, 1.810000, 5.810000
606167, L, R, Slider, 14, 79.860000, -2.860000, -1.040000, 1.590000, 6.040000
606167, L, L, Fourseam, 7, 91.110000, 5.700000, 8.610000, 1.600000, 5.970000
606167, L, L, Slider, 8, 80.070000, -1.660000, 0.960000, 1.610000, 5.810000
543045, L, R, Fourseam, 1644, 91.950000, 10.420000, 8.060000, 3.120000, 6.050000
543045, L, R, Change, 471, 83.560000, 12.240000, 5.710000, 3.130000, 6.100000
543045, L, R, Slider, 431, 85.820000, 3.430000, 2.760000, 3.100000, 6.120000
543045, L, R, Curve, 2, 74.780000, 1.200000, -0.710000, 3.270000, 6.310000
543045, L, L, Fourseam, 464, 91.560000, 10.420000, 7.840000, 3.230000, 5.990000
543045, L, L, Change, 89, 83.390000, 12.270000, 4.940000, 3.250000, 6.050000
543045, L, L, Slider, 140, 85.210000, 3.570000, 2.650000, 3.130000, 6.080000
543045, L, L, Curve, 1, 77.500000, 1.620000, -1.500000, 3.310000, 6.110000
571893, L, R, Fourseam, 412, 93.400000, 6.980000, 9.230000, 1.130000, 6.220000
571893, L, R, Sinker, 4, 91.050000, 10.910000, 6.200000, 1.340000, 6.190000
571893, L, R, Change, 122, 85.560000, 7.360000, 2.430000, 1.250000, 6.200000
571893, L, R, Slider, 33, 84.370000, 1.060000, 1.030000, 1.130000, 6.150000
571893, L, L, Fourseam, 450, 93.340000, 6.790000, 9.360000, 1.070000, 6.240000
571893, L, L, Change, 34, 85.870000, 7.740000, 2.020000, 1.150000, 6.200000
571893, L, L, Slider, 165, 85.350000, 0.520000, 1.700000, 1.200000, 6.160000
429400, L, R, Fourseam, 191, 91.790000, 3.960000, 7.650000, 2.710000, 6.080000
429400, L, R, Change, 40, 85.340000, 6.950000, 4.660000, 2.500000, 6.250000
429400, L, R, Slider, 60, 83.100000, -2.860000, -0.340000, 2.650000, 6.060000
429400, L, R, Cutter, 1, 89.240000, 1.740000, 4.110000, 2.350000, 6.170000
429400, L, L, Fourseam, 156, 91.830000, 4.430000, 7.280000, 2.820000, 5.950000
429400, L, L, Slider, 94, 82.870000, -3.160000, -0.450000, 2.910000, 5.880000
605388, L, R, Fourseam, 1073, 90.510000, 6.920000, 10.120000, 1.930000, 6.350000
605388, L, R, Sinker, 214, 90.570000, 10.280000, 7.720000, 2.330000, 6.250000
605388, L, R, Change, 547, 78.910000, 7.650000, 7.770000, 2.320000, 6.150000
605388, L, R, Slider, 490, 82.460000, 0.410000, 3.450000, 2.330000, 6.090000
605388, L, R, Curve, 124, 75.670000, -3.130000, -5.120000, 2.100000, 6.290000
605388, L, L, Fourseam, 356, 90.910000, 6.950000, 9.880000, 1.910000, 6.320000
605388, L, L, Sinker, 39, 90.740000, 10.290000, 7.760000, 2.430000, 6.160000
605388, L, L, Change, 36, 79.770000, 7.240000, 7.300000, 2.240000, 6.110000
605388, L, L, Slider, 311, 82.960000, 0.500000, 3.530000, 2.340000, 6.060000
605388, L, L, Curve, 28, 76.370000, -2.650000, -4.890000, 2.170000, 6.190000
493603, R, R, Fourseam, 90, 95.660000, -6.550000, 7.090000, -4.100000, 5.870000
493603, R, R, Sinker, 72, 95.010000, -8.090000, 4.140000, -3.330000, 5.840000
493603, R, R, Slider, 178, 82.680000, 6.990000, -0.190000, -4.630000, 5.630000
493603, R, R, Cutter, 6, 87.330000, 2.070000, 1.170000, -4.020000, 5.920000
493603, R, L, Fourseam, 67, 95.200000, -5.890000, 6.580000, -3.160000, 5.790000
493603, R, L, Sinker, 82, 94.800000, -8.070000, 3.460000, -3.170000, 5.740000
493603, R, L, Change, 1, 89.030000, -4.000000, 1.860000, -3.630000, 5.670000
493603, R, L, Slider, 71, 82.650000, 6.200000, -1.260000, -4.060000, 5.810000
493603, R, L, Cutter, 35, 89.860000, 0.590000, 2.560000, -3.250000, 5.780000
