player_id, year, pitcher_hand, plate_appearences, hits, doubles, triples, home_runs, walks, strikeouts, intentional_walks, hit_by_pitch
450641.0, 2015, R, 1, 0, 0, 0, 0, 0, 1, 0, 0
605141.0, 2014, L, 61, 19, 4, 1, 1, 3, 11, 0, 0
605141.0, 2014, R, 152, 36, 8, 0, 4, 18, 20, 0, 2
605141.0, 2015, L, 161, 46, 7, 2, 5, 11, 15, 1, 0
605141.0, 2015, R, 493, 128, 35, 6, 13, 35, 67, 0, 2
488703.0, 2014, L, 26, 6, 0, 0, 0, 0, 7, 0, 0
488703.0, 2014, R, 48, 6, 1, 0, 0, 3, 10, 0, 0
488703.0, 2015, L, 1, 0, 0, 0, 0, 0, 0, 0, 0
488703.0, 2015, R, 1, 0, 0, 0, 0, 0, 0, 0, 0
595885.0, 2015, L, 49, 10, 1, 0, 2, 7, 15, 0, 0
595885.0, 2015, R, 129, 31, 8, 0, 9, 12, 38, 0, 1
453568.0, 2014, L, 160, 40, 6, 1, 4, 2, 20, 0, 5
453568.0, 2014, R, 488, 131, 21, 2, 15, 29, 76, 5, 8
453568.0, 2015, L, 180, 43, 5, 3, 3, 12, 29, 0, 2
453568.0, 2015, R, 502, 133, 26, 6, 14, 34, 83, 2, 11
433217.0, 2014, L, 28, 8, 3, 0, 0, 0, 3, 0, 0
433217.0, 2014, R, 25, 5, 2, 0, 1, 2, 3, 1, 0
433217.0, 2015, L, 95, 30, 10, 0, 3, 6, 13, 0, 2
433217.0, 2015, R, 166, 38, 12, 3, 4, 15, 31, 0, 2
453923.0, 2014, L, 138, 37, 9, 1, 0, 10, 24, 0, 0
453923.0, 2014, R, 306, 65, 9, 5, 5, 31, 53, 1, 3
453923.0, 2015, L, 78, 20, 3, 1, 1, 5, 16, 0, 2
453923.0, 2015, R, 294, 75, 16, 2, 4, 35, 43, 7, 0
452035.0, 2014, L, 36, 9, 0, 0, 2, 4, 8, 0, 1
452035.0, 2014, R, 30, 8, 1, 0, 0, 4, 8, 0, 1
452035.0, 2015, L, 27, 9, 3, 0, 3, 0, 7, 0, 0
452035.0, 2015, R, 44, 12, 2, 0, 0, 4, 13, 0, 0
217100.0, 2014, L, 74, 20, 2, 0, 1, 2, 15, 1, 0
217100.0, 2014, R, 65, 17, 4, 0, 0, 2, 17, 0, 0
217100.0, 2015, L, 41, 7, 1, 0, 0, 2, 5, 0, 1
217100.0, 2015, R, 31, 4, 0, 0, 0, 0, 8, 0, 0
453269.0, 2014, L, 4, 1, 0, 0, 1, 1, 0, 0, 0
453269.0, 2014, R, 75, 13, 2, 0, 1, 1, 19, 1, 0
453269.0, 2015, L, 8, 1, 0, 0, 0, 1, 5, 0, 0
453269.0, 2015, R, 86, 12, 2, 0, 1, 3, 25, 0, 1
593428.0, 2014, L, 172, 41, 11, 0, 5, 12, 29, 1, 3
593428.0, 2014, R, 422, 88, 17, 1, 7, 27, 109, 0, 5
593428.0, 2015, L, 172, 57, 8, 1, 2, 16, 23, 1, 0
593428.0, 2015, R, 482, 139, 27, 2, 5, 16, 78, 0, 3
460131.0, 2015, L, 11, 1, 0, 0, 0, 0, 6, 0, 0
460131.0, 2015, R, 50, 14, 3, 0, 2, 3, 15, 0, 0
466988.0, 2014, L, 114, 38, 8, 1, 3, 8, 29, 0, 0
466988.0, 2014, R, 312, 64, 9, 3, 0, 18, 56, 2, 0
466988.0, 2015, L, 35, 6, 2, 0, 0, 0, 16, 0, 0
466988.0, 2015, R, 47, 7, 0, 0, 0, 2, 11, 0, 1
430652.0, 2014, L, 6, 2, 0, 1, 0, 1, 2, 0, 0
430652.0, 2014, R, 28, 6, 0, 0, 0, 0, 4, 0, 0
430652.0, 2015, L, 58, 9, 1, 1, 1, 4, 11, 0, 0
430652.0, 2015, R, 154, 38, 4, 1, 2, 10, 22, 0, 1
488721.0, 2014, L, 113, 20, 1, 2, 3, 6, 37, 0, 2
488721.0, 2014, R, 181, 41, 8, 3, 1, 14, 41, 1, 2
488721.0, 2015, L, 74, 13, 1, 0, 3, 6, 23, 2, 2
488721.0, 2015, R, 151, 26, 7, 3, 1, 13, 36, 2, 4
571506.0, 2014, L, 5, 1, 1, 0, 0, 0, 2, 0, 0
571506.0, 2014, R, 78, 20, 2, 0, 1, 9, 17, 1, 0
571506.0, 2015, L, 75, 15, 4, 0, 0, 6, 22, 0, 1
571506.0, 2015, R, 371, 92, 16, 0, 23, 28, 79, 3, 1
456422.0, 2014, L, 154, 32, 7, 2, 0, 7, 36, 0, 2
456422.0, 2014, R, 333, 82, 10, 8, 3, 28, 78, 1, 1
456422.0, 2015, L, 112, 21, 4, 0, 0, 14, 27, 0, 0
456422.0, 2015, R, 370, 80, 11, 2, 0, 32, 80, 0, 0
598265.0, 2014, L, 148, 31, 9, 1, 1, 9, 41, 0, 5
598265.0, 2014, R, 275, 45, 10, 1, 0, 22, 80, 1, 0
598265.0, 2015, L, 83, 22, 4, 3, 2, 8, 21, 0, 2
598265.0, 2015, R, 172, 33, 13, 1, 8, 19, 48, 0, 1
488726.0, 2014, L, 233, 63, 12, 1, 5, 19, 25, 1, 6
488726.0, 2014, R, 443, 137, 33, 1, 15, 33, 31, 3, 2
488726.0, 2015, L, 234, 63, 16, 0, 5, 18, 30, 1, 0
488726.0, 2015, R, 362, 101, 29, 0, 10, 42, 21, 7, 2
542963.0, 2015, L, 9, 0, 0, 0, 0, 0, 1, 0, 0
542963.0, 2015, R, 27, 4, 1, 0, 1, 2, 7, 0, 0
460075.0, 2014, L, 149, 39, 6, 3, 7, 7, 26, 0, 0
460075.0, 2014, R, 431, 102, 24, 3, 12, 34, 87, 3, 6
460075.0, 2015, L, 141, 38, 8, 1, 6, 18, 26, 1, 1
460075.0, 2015, R, 427, 106, 19, 2, 19, 36, 89, 3, 3
458582.0, 2014, L, 11, 0, 0, 0, 0, 0, 3, 0, 0
458582.0, 2014, R, 80, 18, 5, 1, 1, 9, 30, 1, 0
458582.0, 2015, R, 17, 1, 0, 0, 0, 3, 5, 0, 0
593647.0, 2015, L, 5, 0, 0, 0, 0, 1, 1, 0, 0
593647.0, 2015, R, 29, 10, 3, 1, 0, 0, 6, 0, 0
518500.0, 2014, L, 18, 2, 0, 0, 0, 2, 4, 0, 1
518500.0, 2014, R, 31, 6, 1, 0, 2, 1, 11, 0, 0
502126.0, 2014, L, 111, 23, 5, 0, 1, 4, 21, 0, 0
502126.0, 2014, R, 401, 88, 17, 1, 9, 30, 70, 4, 1
502126.0, 2015, L, 45, 10, 2, 1, 0, 3, 7, 0, 0
502126.0, 2015, R, 159, 33, 4, 0, 5, 11, 29, 0, 1
518502.0, 2014, L, 5, 1, 0, 0, 0, 0, 0, 0, 0
518502.0, 2014, R, 2, 2, 0, 0, 0, 0, 0, 0, 0
623143.0, 2015, L, 13, 1, 0, 0, 0, 0, 4, 0, 0
623143.0, 2015, R, 30, 8, 3, 0, 0, 3, 4, 0, 0
542979.0, 2015, L, 2, 0, 0, 0, 0, 0, 1, 0, 0
542979.0, 2015, R, 0, 0, 0, 0, 0, 0, 0, 0, 0
457803.0, 2014, L, 130, 19, 3, 0, 6, 7, 41, 0, 2
457803.0, 2014, R, 415, 88, 18, 1, 12, 37, 108, 5, 0
457803.0, 2015, L, 185, 38, 9, 2, 4, 14, 41, 0, 1
457803.0, 2015, R, 464, 93, 26, 2, 22, 44, 104, 8, 1
592178.0, 2015, L, 145, 31, 6, 1, 6, 19, 53, 0, 0
592178.0, 2015, R, 505, 123, 25, 4, 20, 58, 146, 0, 9
407833.0, 2014, L, 44, 10, 0, 0, 1, 3, 11, 0, 0
407833.0, 2014, R, 53, 10, 2, 0, 0, 5, 15, 0, 0
